source,target,value
.com,10minutesmail.com,1
.io,4w.io,1
others,cpanel.net,27
.com,cpanel.net,31
.net,cpanel.net,9
.io,cpanel.net,1
.org,1and1.info,1
others,1and1.info,9
.com,1and1.info,8
.net,1and1.info,4
others,aruba.it,2
.com,aruba.it,1
.net,adios.net,1
others,2014mail.ru,1
.com,academiccommunity.com,1
others,4pet.ro,1
.com,anonymize.com,1
.com,fastmail.com,33
.net,fastmail.com,29
.org,fastmail.com,2
others,fastmail.com,9
.com,algeria.com,1
.com,asurfer.com,1
.org,websupport.sk,1
others,anit.ro,1
.co,spacemail.com,1
others,arcor.de,1
.com,bigpond.com,1
others,bluemail.ch,1
others,bigblue.net.au,1
others,atmailcloud.com,7
.net,atmailcloud.com,1
others,secureserver.net,1
.com,secureserver.net,1
.org,secureserver.net,1
others,uol.com.br,2
others,bell.net,1
.net,bell.net,1
others,bloq.ro,1
.net,bright.net,1
others,blu.it,1
others,bluewin.ch,1
others,bk.ru,1
others,campano.cl,1
.com,catcha.com,1
.com,mintemail.com,2
.com,btopenworld.com,1
others,infomaniak.com,2
.com,infomaniak.com,4
others,america.hm,1
others,blueyonder.co.uk,1
.net,comcast.net,1
.net,crosswinds.net,1
others,bigpond.net.au,1
others,chello.nl,1
.com,deadspam.com,1
.net,dca.net,1
others,jtw.dk,2
.net,doxcity.net,1
.com,dangerous-minds.com,1
.net,dreamhost.com,3
.com,dreamhost.com,2
.com,duno.com,1
.com,btinternet.com,1
others,dlemail.ru,1
others,dwse.edu.pl,1
others,cookiecooker.de,1
others,lima-city.de,1
others,e-mail.jp,1
others,drevo.si,1
others,emailgo.de,1
others,cyberfolks.pl,1
others,deerpower.de,1
others,esc.la,1
others,email.cz,2
others,seznam.cz,4
others,comwest.de,1
others,crastination.de,1
others,emeil.ir,1
others,emailirani.ir,1
others,plala.or.jp,1
others,flemail.ru,1
others,freeler.nl,1
others,email-server.info,1
.com,freeandsingle.com,1
others,mailindeed.com,1
.com,sureserver.com,1
others,gportal.hu,1
.com,gratisweb.com,1
others,headstrong.de,1
.com,icloud.com,1
others,i.am,1
others,hetnet.nl,1
.com,loopia.com,2
.com,icestorm.com,1
others,home.nl,1
others,ziggo.nl,1
.net,i-plus.net,1
.net,nethosters.com,1
.com,nethosters.com,1
others,freenet.de,1
others,inbox.lv,1
others,iinet.net.au,1
others,iprimus.com.au,1
.net,on.net,1
others,inwind.it,1
others,interia.pl,2
others,inbox.ru,1
others,iol.it,1
.net,gtmc.net,1
others,kabelmail.de,1
others,kismail.ru,1
others,hidemail.de,1
others,kpnmail.nl,1
others,lackmail.ru,1
others,imgv.de,1
others,libero.it,1
others,list.ru,1
others,mail-pro.info,1
.net,lolfreak.net,1
others,lycos.co.uk,1
others,mail.be,1
others,mail.co.za,1
others,aserv.co.za,1
.com,lycos.com,1
others,mail.ee,1
others,privateemail.com,1
others,mail.ru,1
.com,just4spam.com,1
.org,mailbox.org,1
others,marketlink.info,1
others,metta.lk,1
others,mobi.web.id,1
others,next.ovh,1
.com,netgenie.com,1
others,net4you.at,1
others,marketing.lu,1
others,nomail.pw,1
others,onet.pl,1
others,online.ie,1
others,olypmall.ru,1
others,securemail.pro,1
.com,parvazi.com,1
others,ozemail.com.au,1
.com,picusnet.com,1
others,planet.nl,1
others,proton.me,2
.com,proton.me,1
.com,perfectmail.com,1
.com,perfectmail.net,1
.com,ntlworld.com,1
others,piki.si,1
.net,privacy.net,1
others,netspace.net.au,1
others,post.cz,1
.com,nice-4u.com,1
others,pobox.hu,1
others,poczta.fm,1
others,rax.la,1
.com,r8r4p0cb.com,1
others,royalhost.info,1
others,keymachine.de,1
others,ccs.pl,1
.com,shuf.com,1
others,shotmail.ru,1
others,spambox.us,1
.com,soccermomz.com,1
.com,starspath.com,1
others,skynet.be,1
others,start.com.au,1
.net,swva.net,1
.com,tbwt.com,1
others,sympatico.ca,1
.com,tagmymedia.com,1
.com,swirve.com,1
.com,temporaryinbox.com,1
.com,talk21.com,1
.com,telstra.com,1
.com,the-boss.com,1
.com,the-frenchman.com,1
.com,buzondecorreo.com,1
others,terra.com.br,1
others,teleline.es,1
others,panel247.com,1
others,theroyalweb.club,1
others,singnet.com.sg,1
others,tiscali.it,1
.com,trashinbox.com,1
.com,xpirio.net,1
.com,tonymanso.com,1
others,trend-maker.ru,1
others,tpg.com.au,1
others,ubm.md,1
.com,uk2net.com,1
.net,ukr.net,1
.com,urbismail.com,1
others,uno.it,1
.com,verdejo.com,1
others,velnet.co.uk,1
others,vip.gr,1
.net,virgin.net,1
others,virgilio.it,1
.com,virginmedia.com,1
.net,wamail.net,1
others,walkmail.ru,1
others,westnet.com.au,1
.net,x-mail.net,1
.com,ymail4.com,1
others,ya.ru,1
others,yandex.ru,1
.com,yandex.com,1
others,us.af,1
others,z86.ru,1
.com,zoho.com,1
others,zomg.info,1
others,vankin.de,1
